lat,lon,add,name,,
40.4713962,-79.93221729999999,"709 North Aiken Avenue, Pittsburgh, PA 15206, USA",The Neighborhood Academy,,
40.597757,-79.967603,"2308 West Hardies Road, Gibsonia, PA 15044, USA",Aquinas Academy of Pittsburgh,,
40.4235701,-80.0702566,"2700 Morange Road, Pittsburgh, PA 15205, USA",Bishop Canevin High School,,
40.4601089,-79.98535300000003,"1400 Troy Hill Road, Pittsburgh, PA 15212, USA",CARDINAL WUERL NORTH CATHOLIC,,
40.4468318,-79.9460704,"4720 Fifth Avenue, Pittsburgh, PA 15213, USA",Central Catholic High School,,
40.55937000000001,-80.10564399999998,"318 Nicholson Road, Sewickley, PA 15143, USA",Eden Christian Academy High School,,
40.453004,-79.87251600000002,"2150 East Hills Drive, Pittsburgh, PA 15221, USA",Imani Christian Academy,,
40.448829,-79.94940299999996,"144 North Craig Street, Pittsburgh, PA 15213, USA",Oakland Catholic High School,,
40.5032558,-80.15748830000001,"1504 Woodcrest Avenue, Moon, PA 15108, USA",Our Lady of the Sacred Heart High School,,
40.6200116,-79.72660029999997,"800 Montana Avenue, Natrona Heights, PA 15065, USA",Saint Joseph High School,,
40.3259923,-79.82428270000003,"200 Hershey Drive, McKeesport, PA 15132, USA",Serra Catholic High School,,
40.3834147,-80.02179960000001,"1000 McNeilly Road, Pittsburgh, PA 15226, USA",Seton LaSalle Catholic High School,,
40.5437956,-80.18952030000003,"315 Academy Avenue, Sewickley, PA 15143, USA",Sewickley Academy,,
40.5224699,-79.8826133,"423 Fox Chapel Road, Pittsburgh, PA 15238, USA",Shady Side Academy,,
40.454254,-79.91797300000002,"6425 Fifth Avenue, Pittsburgh, PA 15206, USA",The Ellis School,,
40.42719,-79.85605900000002,"299 Ridge Avenue, Pittsburgh, PA 15221, USA",Trinity Christian School,,
40.5585537,-80.0235126,"8100 McKnight Road, Pittsburgh, PA 15237, USA",Vincentian Academy,,
40.4515389,-79.94220200000001,"555 Morewood Avenue, Pittsburgh, PA 15213, USA",Winchester Thurston High School,,
40.5478,-79.77979399999998,"501 Butler Road, Springdale, PA 15144, USA",Springdale High School,,
40.523808,-80.07199830000002,"304 Josephs Lane, Pittsburgh, PA 15237, USA",Avonworth High School,,
40.3557265,-79.97854339999998,"4653 Clairton Boulevard, Pittsburgh, PA 15236, USA",Baldwin High School,,
40.3362726,-80.04501800000003,"309 Church Road, Pittsburgh, PA 15241, USA",Bethel Park High School,,
40.3742115,-79.97549679999997,"3601 Brownsville Road, Pittsburgh, PA 15227, USA",Brentwood High School,,
40.4275218,-80.0948712,"435 Kings Highway, Carnegie, PA 15106, USA",Carlynton High School,,
40.383745,-80.10751100000004,"50 Thoms Run Road, Bridgeville, PA 15017, USA",Chartiers Valley High School,,
40.293791,-79.88406900000001,"501 Waddell Avenue, Clairton, PA 15025, USA",Clairton High School,,
40.5117896,-80.16133049999996,"1099 Maple Street, Coraopolis, PA 15108, USA",Cornell High School,,
40.61587859999999,-79.853408,"163 East Union Road, Cheswick, PA 15024, USA",Deer Lakes High School,,
40.3622835,-79.78525279999997,"1150 Jacks Run Road, North Versailles, PA 15137, USA",East Allegheny High School,,
40.2562046,-79.85590580000002,"1000 Weigles Hill Road, Elizabeth, PA 15037, USA",Elizabeth Forward High School,,
40.5179868,-79.86762870000001,"611 Field Club Road, Pittsburgh, PA 15238, USA",Fox Chapel Area High School,,
40.4314396,-79.7546322,"3000 Gateway Campus Boulevard, Monroeville, PA 15146, USA",Gateway High School,,
40.5831392,-79.9407812,"2929 McCully Road, Allison Park, PA 15101, USA",Hampton High School,,
40.6181927,-79.72841690000001,"1500 Pacific Avenue, Natrona Heights, PA 15065, USA",Highlands High School,,
40.387434,-80.03175799999997,"1000 Kelton Avenue, Pittsburgh, PA 15216, USA",Keystone Oaks High School,,
40.343267,-79.8292171,"1960 Eden Park Boulevard, McKeesport, PA 15132, USA",McKeesport Area High School,,
40.466168,-80.12099999999998,"223 Clever Road, McKees Rocks, PA 15136, USA",Montour High School,,
40.510576,-80.22090100000003,"8353 University Boulevard, Coraopolis, PA 15108, USA",Moon Area High School,,
40.376205,-80.05082930000003,"155 Cochran Road, Pittsburgh, PA 15228, USA",Mount Lebanon High School,,
40.604716,-80.05080699999996,"10375 Perry Highway, Wexford, PA 15090, USA",North Allegheny High School,,
40.5238691,-80.0291416,"53 Rochester Road, Pittsburgh, PA 15229, USA",North Hills High School,,
40.506947,-80.058918,"589 Union Avenue, Pittsburgh, PA 15202, USA",Northgate High School,,
40.466344,-79.81199900000001,"309 Collins Drive, Pittsburgh, PA 15235, USA",Penn Hills High School,,
40.658544,-80.014114,"700 Warrendale Road, Gibsonia, PA 15044, USA",Pine Richland High School,,
40.4169322,-80.01904230000002,"590 Crane Avenue, Pittsburgh, PA 15216, USA",Brashear High School,,
40.390761,-79.98933899999997,"125 Parkfield Street, Pittsburgh, PA 15210, USA",Carrick High School,,
40.46705,-79.92304939999997,"515 North Highland Avenue, Pittsburgh, PA 15206, USA",Obama Academy,,
40.488746,-80.01985100000002,"3875 Perrysville Avenue, Pittsburgh, PA 15214, USA",Perry Traditional Academy,,
40.4433879,-79.95657310000001,"107 Thackeray Avenue, Pittsburgh, PA 15213, USA",Pittsburgh Science and Technology Academy,,
40.4295499,-79.91916420000001,"2409 Shady Avenue, Pittsburgh, PA 15217, USA",Taylor Allderdice High School,,
40.4487919,-79.9615882,"3117 Centre Avenue, Pittsburgh, PA 15219, USA",University Prep Margaret Milliones,,
40.46153899999999,-79.90172799999999,"1101 North Murtland Street, Pittsburgh, PA 15208, USA",Westinghouse High School,,
40.5068709,-79.76612599999999,"900 Elicker Road, Pittsburgh, PA 15239, USA",Plum High School,,
40.561189,-80.202835,"625 Beaver Road, Sewickley, PA 15143, USA",Quaker Valley High School,,
